id|name|type|edition|version|errata_date|errata_link|
000000233|Munitorum Field Manual|Expansion|10|1.9|08.05.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/GXzaI0Z941DGQwZM.pdf|
000000259|Agents of the Imperium|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/RAjaOt6Lq6J7tD60.pdf|
000000235|Legends Field Manual|Expansion|10|1.4|08.05.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/lbjrPJ4LgS5ATuQd.pdf|
000000053|Genestealer Cults|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/q1N1nnlcxmskMRLN.pdf|
000000245|Legends: Necrons|Datasheet|10||21.07.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/RCoLdSNP6luylRcU.pdf|
000000244|Imperial Armour: Necrons|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/Mcu6QBdzRs8yWqCW.pdf|
000000186|Aeldari|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/iKKIMs0G1UT2fQqr.pdf|
000000270|Imperial Armour: Titans|Index|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/8BgBEXw7BlTSquqV.pdf|
000000046|Orks|Codex|10|1.0|29.05.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/37dmkSA6eajBJI4A.pdf|
000000271|Legends: Unaligned Forces|Datasheet|10||24.08.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/07/KUIOWT7igFo0NUY1.pdf|
000000013|Grey Knights|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/usFKM5jTIVQBasCy.pdf|
000000028|T’au Empire|Codex|10||29.04.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/g1XBQpi1oETB9M29.pdf|
000000166|Balance Dataslate|Rulebook|10|January 2024|30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/09/dKoVkM0TCEGV9plY.pdf|
000000236|Horus Heresy Field Manual|Expansion|10||30.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/8OpqoOZ58neLMXB6.pdf|
000000015|Adeptus Mechanicus|Codex|10||02.12.2023 0:00:00||
000000210|World Eaters|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/4nykMxBA9f4HYRHZ.pdf|
000000027|Thousand Sons|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/8FdAlJWjl9jx4XFh.pdf|
000000014|Death Guard|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/Z52blfkFC5OxBQBW.pdf|
000000070|Chaos Knights|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/b0nfIWj3IgUI2LDa.pdf|
000000025|Chaos Daemons|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/5RLcwclOxLSXDKt0.pdf|
000000034|Imperial Knights|Index|10||30.01.2024 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/Xge5h5i11s57jFEN.pdf|
000000234|Imperial Armour: Tyranids|Datasheet|10||19.06.2023 0:00:00|https://www.warhammer-community.com/wp-content/uploads/2023/06/HgMmll6jheLNHIOm.pdf|
