datasheet_id|enhancement_id|
000000001|000008872003|
000000001|000008885002|
000000001|000008885003|
000000001|000008881002|
000000001|000008881004|
000000001|000008881003|
000000001|000008367003|
000000001|000008367005|
000000001|000008872002|
000000001|000008881005|
000000001|000008885004|
000000001|000008367004|
000000001|000008367002|
000000002|000008881005|
000000002|000008881003|
000000002|000008885004|
000000002|000008881004|
000000002|000008872002|
000000002|000008885003|
000000002|000008367003|
000000002|000008367004|
000000002|000008885002|
000000002|000008881002|
000000002|000008367005|
000000002|000008885005|
000000002|000008367002|
000000002|000008872003|
000000003|000008367002|
000000003|000008367003|
000000003|000008367004|
000000003|000008872003|
000000003|000008367005|
000000004|000008367004|
000000004|000008881005|
000000004|000008367003|
000000004|000008881002|
000000004|000008872003|
000000004|000008872002|
000000004|000008367005|
000000004|000008881004|
000000004|000008881003|
000000004|000008367002|
000000006|000008367002|
000000006|000008877002|
000000006|000008877003|
000000006|000008367004|
000000006|000008881005|
000000006|000008877004|
000000006|000008872002|
000000006|000008881004|
000000006|000008872003|
000000006|000008367003|
000000006|000008877005|
000000006|000008367005|
000000006|000008881003|
000000006|000008881002|
000000007|000008367004|
000000007|000008367003|
000000007|000008367005|
000000007|000008872003|
000000007|000008367002|
000000012|000008881002|
000000012|000008367005|
000000012|000008881003|
000000012|000008367004|
000000012|000008881004|
000000012|000008881005|
000000012|000008367002|
000000012|000008877005|
000000012|000008877002|
000000012|000008877003|
000000012|000008872003|
000000012|000008877004|
000000012|000008872002|
000000012|000008367003|
000000013|000008881002|
000000013|000008367005|
000000013|000008367002|
000000013|000008881003|
000000013|000008872003|
000000013|000008367003|
000000013|000008881004|
000000013|000008872002|
000000013|000008881005|
000000013|000008367004|
000000014|000008367004|
000000014|000008367003|
000000014|000008872003|
000000014|000008367002|
000000014|000008367005|
000000022|000008881004|
000000022|000008367004|
000000022|000008872002|
000000022|000008881003|
000000022|000008881002|
000000022|000008872003|
000000022|000008367002|
000000022|000008367005|
000000022|000008881005|
000000022|000008367003|
000000060|000008771003|
000000060|000008528003|
000000060|000008474004|
000000060|000008490002|
000000060|000008532005|
000000060|000008528002|
000000060|000008376003|
000000060|000008494002|
000000060|000008478005|
000000060|000008474005|
000000060|000008522004|
000000060|000008376005|
000000060|000008771002|
000000060|000008532004|
000000060|000008494003|
000000060|000008474002|
000000060|000008478003|
000000060|000008490003|
000000060|000008353005|
000000060|000008522002|
000000060|000008486004|
000000060|000008353003|
000000060|000008771004|
000000060|000008486003|
000000060|000008482003|
000000060|000008482005|
000000060|000008532003|
000000060|000008376004|
000000060|000008532002|
000000060|000008482004|
000000060|000008353002|
000000060|000008528004|
000000060|000008376002|
000000060|000008528005|
000000063|000008528004|
000000063|000008474004|
000000063|000008490003|
000000063|000008778004|
000000063|000008353003|
000000063|000008778003|
000000063|000008353005|
000000063|000008376004|
000000063|000008353002|
000000063|000008778002|
000000063|000008376002|
000000063|000008474005|
000000063|000008376005|
000000063|000008486003|
000000063|000008522002|
000000063|000008771002|
000000063|000008532005|
000000063|000008528002|
000000063|000008532004|
000000063|000008528003|
000000063|000008478003|
000000063|000008494003|
000000063|000008482005|
000000063|000008486002|
000000063|000008522004|
000000063|000008771003|
000000063|000008376003|
000000063|000008532002|
000000063|000008482004|
000000063|000008532003|
000000063|000008778005|
000000063|000008528005|
000000063|000008486004|
000000063|000008478005|
000000063|000008486005|
000000063|000008494002|
000000063|000008771004|
000000073|000008528005|
000000073|000008376002|
000000073|000008353004|
000000073|000008474004|
000000073|000008528004|
000000073|000008532005|
000000073|000008532002|
000000073|000008528002|
000000073|000008376004|
000000073|000008376003|
000000073|000008522005|
000000073|000008353003|
000000073|000008353005|
000000073|000008376005|
000000073|000008522004|
000000073|000008522002|
000000073|000008474005|
000000073|000008532004|
