datasheet_id|detachment_ability_id|
000000001|000008884|
000000001|000008365|
000000002|000008365|
000000002|000008884|
000000003|000008871|
000000003|000008884|
000000003|000008365|
000000004|000008365|
000000006|000008875|
000000006|000008365|
000000007|000008365|
000000007|000008871|
000000008|000008365|
000000008|000008884|
000000009|000008365|
000000010|000008365|
000000011|000008365|
000000012|000008875|
000000012|000008365|
000000013|000008365|
000000014|000008871|
000000014|000008365|
000000015|000008365|
000000016|000008365|
000000016|000008880|
000000017|000008365|
000000019|000008365|
000000020|000008365|
000000021|000008884|
000000021|000008365|
000000022|000008365|
000000023|000008365|
000000023|000008871|
000000024|000008365|
000000024|000008884|
000000025|000008365|
000000026|000008365|
000000027|000008365|
000000028|000008871|
000000028|000008365|
000000029|000008871|
000000029|000008365|
000000030|000008365|
000000030|000008871|
000000031|000008871|
000000031|000008365|
000000032|000008365|
000000032|000008871|
000000033|000008365|
000000033|000008871|
000000034|000008871|
000000034|000008365|
000000035|000008871|
000000035|000008365|
000000036|000008871|
000000036|000008365|
000000037|000008365|
000000037|000008875|
000000038|000008365|
000000038|000008875|
000000039|000008365|
000000040|000008875|
000000040|000008365|
000000041|000008365|
000000041|000008875|
000000042|000008365|
000000042|000008875|
000000043|000008875|
000000043|000008365|
000000044|000008365|
000000045|000008365|
000000046|000008365|
000000046|000008875|
000000049|000008365|
000000049|000008875|
000000050|000008365|
000000050|000008875|
000000051|000008365|
000000052|000008875|
000000052|000008365|
000000053|000008365|
000000054|000008365|
000000055|000008365|
000000056|000008365|
000000057|000008871|
000000057|000008365|
000000059|000008365|
000000060|000008355|
000000060|000008473|
000000060|000008477|
000000060|000008770|
000000060|000008481|
000000060|000008489|
000000060|000008493|
000000060|000008374|
000000060|000008521|
000000060|000008777|
000000060|000008485|
000000060|000008530|
000000060|000008526|
000000061|000008481|
000000061|000008477|
000000061|000008489|
000000061|000008526|
000000061|000008473|
000000061|000008493|
000000061|000008374|
000000061|000008777|
000000061|000008485|
000000061|000008530|
000000061|000008770|
000000061|000008355|
000000063|000008374|
000000063|000008473|
000000063|000008521|
000000063|000008493|
000000063|000008477|
000000063|000008481|
000000063|000008485|
000000063|000008777|
000000063|000008355|
000000063|000008489|
000000063|000008526|
000000063|000008770|
000000063|000008530|
000000064|000008770|
000000064|000008489|
000000064|000008477|
000000064|000008355|
000000064|000008481|
000000064|000008485|
000000064|000008493|
000000064|000008777|
000000064|000008374|
000000064|000008526|
000000064|000008473|
000000064|000008530|
000000065|000008481|
000000065|000008777|
000000065|000008530|
000000065|000008770|
000000065|000008526|
000000065|000008473|
000000065|000008374|
000000065|000008489|
000000065|000008477|
000000065|000008493|
000000065|000008355|
000000065|000008521|
000000065|000008485|
000000066|000008526|
000000066|000008473|
000000066|000008493|
000000066|000008374|
000000066|000008530|
000000066|000008481|
000000066|000008489|
000000066|000008485|
000000066|000008521|
000000066|000008777|
000000066|000008355|
000000066|000008477|
000000066|000008770|
000000067|000008374|
000000067|000008485|
000000067|000008477|
000000067|000008493|
000000067|000008355|
000000067|000008530|
000000067|000008481|
000000067|000008473|
000000067|000008777|
000000067|000008770|
000000067|000008521|
000000067|000008489|
000000067|000008526|
000000068|000008777|
000000068|000008477|
000000068|000008530|
000000068|000008489|
000000068|000008770|
000000068|000008355|
000000068|000008521|
000000068|000008485|
000000068|000008493|
000000068|000008473|
000000068|000008374|
000000068|000008481|
000000068|000008526|
000000070|000008477|
000000070|000008777|
000000070|000008481|
000000070|000008485|
000000070|000008355|
000000070|000008526|
000000070|000008770|
000000070|000008473|
000000070|000008374|
000000070|000008489|
000000070|000008493|
000000070|000008530|
000000071|000008521|
000000071|000008473|
000000071|000008355|
000000071|000008374|
000000071|000008477|
000000071|000008481|
000000071|000008777|
000000071|000008770|
000000071|000008773|
000000071|000008530|
000000071|000008489|
000000071|000008526|
000000071|000008493|
000000071|000008485|
000000072|000008355|
000000072|000008521|
000000072|000008530|
000000072|000008481|
000000072|000008770|
000000072|000008473|
000000072|000008489|
000000072|000008526|
000000072|000008777|
000000072|000008477|
000000072|000008374|
000000072|000008493|
000000072|000008485|
000000073|000008521|
000000073|000008485|
000000073|000008530|
000000073|000008374|
000000073|000008777|
000000073|000008355|
000000073|000008473|
000000073|000008526|
000000073|000008477|
000000073|000008489|
000000073|000008770|
000000073|000008493|
000000073|000008481|
000000076|000008473|
000000076|000008489|
000000076|000008770|
000000076|000008493|
000000076|000008374|
000000076|000008485|
000000076|000008530|
000000076|000008477|
000000076|000008355|
000000076|000008521|
000000076|000008777|
000000076|000008526|
000000076|000008481|
000000079|000008777|
000000079|000008485|
000000079|000008493|
000000079|000008773|
000000079|000008489|
000000079|000008473|
000000079|000008526|
000000079|000008477|
000000079|000008481|
000000079|000008521|
000000079|000008770|
000000079|000008374|
000000079|000008530|
000000079|000008355|
000000081|000008493|
000000081|000008521|
000000081|000008770|
000000081|000008473|
000000081|000008489|
000000081|000008777|
000000081|000008374|
000000081|000008530|
000000081|000008485|
000000081|000008477|
000000081|000008526|
000000081|000008355|
000000081|000008481|
000000083|000008777|
000000083|000008374|
000000083|000008473|
000000083|000008485|
000000083|000008493|
000000083|000008477|
000000083|000008521|
000000083|000008770|
000000083|000008526|
000000083|000008530|
000000083|000008489|
000000083|000008481|
000000083|000008355|
000000084|000008477|
000000084|000008530|
000000084|000008473|
000000084|000008489|
000000084|000008374|
000000084|000008493|
000000084|000008355|
000000084|000008777|
000000084|000008521|
000000084|000008526|
000000084|000008481|
000000084|000008770|
000000084|000008485|
000000085|000008777|
000000085|000008355|
000000085|000008521|
000000085|000008481|
000000085|000008473|
000000085|000008374|
000000085|000008526|
000000085|000008477|
000000085|000008485|
000000085|000008770|
000000085|000008489|
000000085|000008493|
000000085|000008530|
000000086|000008473|
000000086|000008374|
000000086|000008526|
000000086|000008489|
000000086|000008530|
000000086|000008770|
000000086|000008493|
000000086|000008485|
000000086|000008777|
000000086|000008477|
000000086|000008355|
000000086|000008481|
000000086|000008521|
000000087|000008526|
000000087|000008477|
000000087|000008521|
000000087|000008493|
000000087|000008777|
000000087|000008473|
000000087|000008489|
000000087|000008485|
000000087|000008355|
000000087|000008770|
000000087|000008530|
000000087|000008481|
000000087|000008374|
000000091|000008477|
000000091|000008473|
000000091|000008489|
000000091|000008485|
000000091|000008770|
000000091|000008374|
000000091|000008493|
000000091|000008777|
000000091|000008355|
000000091|000008481|
000000091|000008530|
000000091|000008521|
000000091|000008526|
000000092|000008530|
000000092|000008481|
000000092|000008473|
000000092|000008770|
000000092|000008526|
000000092|000008477|
000000092|000008489|
000000092|000008493|
000000092|000008485|
000000092|000008374|
000000092|000008355|
000000092|000008777|
000000092|000008521|
000000093|000008485|
000000093|000008777|
000000093|000008355|
000000093|000008770|
000000093|000008489|
000000093|000008526|
000000093|000008473|
000000093|000008493|
000000093|000008477|
000000093|000008374|
000000093|000008530|
000000093|000008521|
000000093|000008481|
000000094|000008777|
000000094|000008526|
000000094|000008770|
000000094|000008374|
000000094|000008493|
000000094|000008481|
000000094|000008485|
000000094|000008530|
000000094|000008477|
000000094|000008355|
000000094|000008473|
000000094|000008489|
000000094|000008521|
000000095|000008374|
000000095|000008489|
000000095|000008493|
000000095|000008770|
000000095|000008521|
000000095|000008477|
000000095|000008530|
000000095|000008485|
000000095|000008481|
000000095|000008777|
000000095|000008473|
000000095|000008355|
000000095|000008526|
000000096|000008477|
000000096|000008481|
000000096|000008493|
000000096|000008473|
000000096|000008374|
000000096|000008489|
000000096|000008355|
000000096|000008530|
000000096|000008777|
000000096|000008485|
000000096|000008521|
000000096|000008770|
000000096|000008526|
000000097|000008526|
000000097|000008485|
000000097|000008355|
000000097|000008481|
000000097|000008473|
000000097|000008777|
000000097|000008493|
000000097|000008489|
000000097|000008374|
000000097|000008530|
000000097|000008477|
000000097|000008521|
000000097|000008770|
000000098|000008374|
000000098|000008355|
000000098|000008777|
000000098|000008770|
000000098|000008521|
000000098|000008530|
000000098|000008477|
000000098|000008481|
000000098|000008473|
000000098|000008493|
000000098|000008526|
000000098|000008485|
000000098|000008489|
000000099|000008374|
000000099|000008485|
000000099|000008473|
000000099|000008777|
000000099|000008477|
000000099|000008521|
000000099|000008481|
000000099|000008526|
000000099|000008493|
000000099|000008530|
000000099|000008770|
000000099|000008489|
000000099|000008355|
000000103|000008473|
000000103|000008374|
000000103|000008530|
000000103|000008481|
000000103|000008355|
000000103|000008493|
000000103|000008489|
000000103|000008477|
000000103|000008521|
000000103|000008770|
000000103|000008526|
000000103|000008485|
000000103|000008777|
000000104|000008477|
000000104|000008489|
000000104|000008521|
000000104|000008770|
000000104|000008493|
000000104|000008530|
000000104|000008526|
000000104|000008777|
