datasheet_id|stratagem_id|
000000001|000008335003|
000000001|000009624002|
000000001|000009616002|
000000001|000008335002|
000000001|000008335004|
000000001|000008366003|
000000001|000008335006|
000000001|000008366004|
000000001|000008366007|
000000001|000008335005|
000000001|000009218005|
000000001|000009218004|
000000001|000009624003|
000000001|000009218003|
000000001|000009796004|
000000001|000009796002|
000000001|000009624004|
000000001|000008335008|
000000001|000008366006|
000000001|000008366005|
000000001|000008335012|
000000001|000008335010|
000000001|000009624005|
000000001|000009218002|
000000001|000009796006|
000000001|000009796003|
000000001|000009218006|
000000001|000008335009|
000000001|000009616004|
000000002|000009218004|
000000002|000008335005|
000000002|000009616002|
000000002|000009796006|
000000002|000008335009|
000000002|000009796004|
000000002|000009218003|
000000002|000009624005|
000000002|000009616004|
000000002|000008335010|
000000002|000008335002|
000000002|000009218006|
000000002|000008366006|
000000002|000009624004|
000000002|000008366003|
000000002|000009218005|
000000002|000008335003|
000000002|000008335008|
000000002|000009796002|
000000002|000009624003|
000000002|000008366004|
000000002|000009796003|
000000002|000009624002|
000000002|000008335004|
000000002|000009218002|
000000002|000008366007|
000000002|000008366005|
000000002|000008335012|
000000003|000008366003|
000000003|000009796002|
000000003|000008366005|
000000003|000008873007|
000000003|000008335002|
000000003|000009218004|
000000003|000009218005|
000000003|000009218003|
000000003|000009218006|
000000003|000009796006|
000000003|000008335009|
000000003|000009796003|
000000003|000009796004|
000000003|000008335006|
000000003|000008873004|
000000003|000008335008|
000000003|000008335004|
000000003|000009218002|
000000003|000008873006|
000000003|000008873005|
000000003|000008335003|
000000003|000008873002|
000000003|000008873003|
000000003|000008366004|
000000003|000008335005|
000000003|000008335012|
000000004|000008335002|
000000004|000009616002|
000000004|000009796006|
000000004|000009796004|
000000004|000008335010|
000000004|000009616004|
000000004|000009218006|
000000004|000009218004|
000000004|000008366005|
000000004|000008335003|
000000004|000008366006|
000000004|000008335012|
000000004|000009218002|
000000004|000008335008|
000000004|000009796003|
000000004|000008366007|
000000004|000009218003|
000000004|000008335005|
000000004|000009218005|
000000004|000009796002|
000000004|000008335004|
000000004|000008366003|
000000004|000008335009|
000000004|000008366004|
000000006|000008335003|
000000006|000008335005|
000000006|000009218002|
