000000393|Grey Knights Land Raider Redeemer|GK|000000013|The Land Raider Redeemer is armed with flamestorm cannons that it uses to burn the stain of the daemonic clean. This brutal assault vehicle dominates urban warfare, spraying promethium from its flamestorm cannons and bursts of shot from assault cannons, before unleashing its payload of Grey Knights to purge the survivors.|Other|<b>This model is equipped with:</b> 2 flamestorm cannons; twin assault cannon; armoured tracks.|This model has a transport capacity of 14 <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">INFANTRY</span></span> models. Each <span class="tooltip00335" data-tooltip-content="#tooltip_content00335" data-tooltip-anchor="#tooltip_content00335"><span class="kwb">TERMINATOR</span></span> model takes up the space of 2 models.|false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grey-Knights-Land-Raider-Redeemer|
000000395|Grey Knights Razorback|GK|000000013|Razorbacks are sturdy armoured transports that combine speed with the support of powerful heavy weapons, ideal for surgical strikes and swift feints. Secure within its adamantine-encased hull, a squad of Grey Knights can advance rapidly and strike exposed foes, while the Razorback’s turret engages additional targets.|Dedicated Transports|<b>This model is equipped with:</b> twin heavy bolter; armoured tracks.|This model has a transport capacity of 6 <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">INFANTRY</span></span> models. It cannot transport <span class="tooltip00335" data-tooltip-content="#tooltip_content00335" data-tooltip-anchor="#tooltip_content00335"><span class="kwb">TERMINATOR</span></span> models.|false|||||https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grey-Knights-Razorback|
000000396|Grey Knights Rhino|GK|000000013|The Rhino is an ancient design of transport that has supported Space Marines for millennia. Its rugged and reliable systems are vital for surviving the mutating landscapes of daemon worlds the Grey Knights sometimes fight across, while the warriors inside are shielded by thick armour and a warded truesilver mesh.|Dedicated Transports|<b>This model is equipped with:</b> storm bolter; armoured tracks.|This model has a transport capacity of 12 <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">INFANTRY</span></span> models. It cannot transport <span class="tooltip00335" data-tooltip-content="#tooltip_content00335" data-tooltip-anchor="#tooltip_content00335"><span class="kwb">TERMINATOR</span></span> models.|false|||||https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grey-Knights-Rhino|
000000397|Servitors|GK|000000013|Some servitors were once serfs, failed aspirants or former allies, now cyborgised with mechanical augmentation. Many have limbs replaced with servo-arms or heavy weapons, employed to defend or aid their Techmarine masters during repairs. The brutal mind-wiping process ensures none ever reveal what they have witnessed.|Other|<b>Every model is equipped with:</b> Servitor’s servo-arm.||false|||||https://wahapedia.ru/wh40k10ed/factions/grey-knights/Servitors|
000000398|Grey Knights Stormraven Gunship|GK|000000013|Powerful close-support aircraft, Stormraven Gunships are capable of deploying Grey Knights and even a revered Dreadnought where empyric disturbances prevent teleportation. Resilient and bristling with heavy weapons, Stormravens excel in armoured assaults and the fiery purgations of landing zones.|Other|<b>This model is equipped with:</b> 2 stormstrike missile launchers; twin assault cannon; typhoon missile launcher; armoured hull.|This model has a transport capacity of 12 <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">INFANTRY</span></span> models and 1 <a class="kwbOne" href="/wh40k10ed/factions/grey-knights/Grey-Knights-Venerable-Dreadnought"><span class="kwb kwbo">GREY</span> <span class="kwb kwbo">KNIGHTS</span> <span class="kwb kwbo">VENERABLE</span> <span class="kwb kwbo">DREADNOUGHT</span></a> model. Each <span class="tooltip00335" data-tooltip-content="#tooltip_content00335" data-tooltip-anchor="#tooltip_content00335"><span class="kwb">TERMINATOR</span></span> model takes up the space of 2 models.|false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grey-Knights-Stormraven-Gunship|
000000399|Brotherhood Techmarine|GK|000000013|Psychic warrior-smiths with esoteric knowledge of machine mysteries, Techmarines maintain and repair the weapons, armour and mighty vehicles used by the Grey Knights. With mechanical servo-arms, and through the rites of the Omnissiah, they fortify the spirits of wounded machines against the claws of daemons.|Characters|<b>This model is equipped with:</b> boltgun; flamer; plasma cutter; Omnissian power axe; servo-arms.||false|||||https://wahapedia.ru/wh40k10ed/factions/grey-knights/Brotherhood-Techmarine|
000000400|Grey Knights Venerable Dreadnought|GK|000000013|Venerable Dreadnoughts house truly ancient champions whose revered belligerence endures war after war. Their strategic acumen and wisdom of ancient horrors banished in past battles is respectfully sought, but they still take to the battlefield with a stoic resolve, and to fight alongside these living legends is a high honour.|Other|<b>This model is equipped with:</b> assault cannon; storm bolter; Dreadnought combat weapon.||false|||||https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grey-Knights-Venerable-Dreadnought|
000001196|Land Raider Banisher|GK|000000261|Land Raider Banishers are configured to carry the Chapter’s holy warriors into the midst of daemonic foes. Sacred unguents and runes guard their hulls, and their assault launchers are primed with psyk-out charges. More potent still, each vehicle boasts a hull-mounted twin psycannon – an arcane weapon that is the doom of warp-spawn.|Other|<b>This model is equipped with:</b> 2 heavy incinerators; twin psycannon; armoured tracks.|This model has a transport capacity of 12 <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">INFANTRY</span></span> models. Each <span class="tooltip00335" data-tooltip-content="#tooltip_content00335" data-tooltip-anchor="#tooltip_content00335"><span class="kwb">TERMINATOR</span></span> model takes up the space of 2 models.|false|||1-5|While this model has 1-5 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/grey-knights/Land-Raider-Banisher|
000001197|Grey Knights Thunderhawk Gunship|GK|000000261|Mighty Thunderhawk Gunships serve the Grey Knights Chapter as any other. Powerful, versatile flyers, they deploy squads of Titan’s sons into the heart of battle whilst slaughtering hosts of enemies with their vast array of anti-personnel and anti-armour weapons.|Other|<b>This model is equipped with:</b> 2 lascannons; Thunderhawk heavy cannon; 4 twin heavy bolters; armoured hull; Thunderhawk cluster bombs.|This model has a transport capacity of 30 <span class="tooltip00334" data-tooltip-content="#tooltip_content00334" data-tooltip-anchor="#tooltip_content00334"><span class="kwb">GREY</span> <span class="kwb">KNIGHTS</span> <span class="kwb">INFANTRY</span></span> models. Each <span class="tooltip00335" data-tooltip-content="#tooltip_content00335" data-tooltip-anchor="#tooltip_content00335"><span class="kwb">TERMINATOR</span></span> model takes up the space of 2 models.|false|||1-10|While this model has 1-10 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grey-Knights-Thunderhawk-Gunship|
000001360|Grand Master In Nemesis Dreadknight|GK|000000013|When they deploy to battle clad in the raiment of a Nemesis Dreadknight, Grand Masters are capable of duelling the greatest daemon lords on an equal footing. Thus girded, their psychic prowess and tactical acumen are wielded alongside the exceptional physical might of a towering and warded Dreadknight suit.|Characters|<b>This model is equipped with:</b> dreadfists.||false|||1-4|While this model has 1-4 wounds remaining, each time this model makes an attack, subtract 1 from the <a href="/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll">Hit roll</a>.|https://wahapedia.ru/wh40k10ed/factions/grey-knights/Grand-Master-In-Nemesis-Dreadknight|
