datasheet_id|keyword|model|is_faction_keyword|
000000001|Orks||true|
000000001|Warboss||false|
000000001|Grenades||false|
000000001|Character||false|
000000001|Infantry||false|
000000002|Orks||true|
000000002|Character||false|
000000002|Mega Armour||false|
000000002|Infantry||false|
000000002|Warboss in Mega Armour||false|
000000002|Warboss||false|
000000003|Orks||true|
000000003|Character||false|
000000003|Mounted||false|
000000003|Speed Freeks||false|
000000003|Warboss||false|
000000003|Grenades||false|
000000004|Orks||true|
000000004|Infantry||false|
000000004|Psyker||false|
000000004|Weirdboy||false|
000000004|Character||false|
000000006|Orks||true|
000000006|Character||false|
000000006|Infantry||false|
000000006|Mega Armour||false|
000000006|Mek||false|
000000006|Big Mek in Mega Armour||false|
000000007|Orks||true|
000000007|Speed Freeks||false|
000000007|Big Mek||false|
000000007|Big Mek on Warbike||false|
000000007|Character||false|
000000007|Grenades||false|
000000007|Mounted||false|
000000008|Orks||true|
000000008|Ghazghkull Thraka|GHAZGHKULL THRAKA|false|
000000008|Warboss|GHAZGHKULL THRAKA|false|
000000008|Epic Hero|ALL MODELS|false|
000000008|Character|ALL MODELS|false|
000000008|Infantry|ALL MODELS|false|
000000009|Orks||true|
000000009|Epic Hero||false|
000000009|Character||false|
000000009|Infantry||false|
000000009|Kaptin Badrukk||false|
000000010|Orks||true|
000000010|Fly||false|
000000010|Character||false|
000000010|Epic Hero||false|
000000010|Boss Zagstruk||false|
000000010|Infantry||false|
000000010|Jump Pack||false|
000000011|Orks||true|
000000011|Epic Hero||false|
000000011|Character||false|
000000011|Infantry||false|
000000011|Smoke||false|
000000011|Boss Snikrot||false|
000000011|Grenades||false|
000000012|Orks||true|
000000012|Mek||false|
000000012|Character||false|
000000012|Infantry||false|
000000013|Orks||true|
000000013|Painboy||false|
000000013|Infantry||false|
000000013|Character||false|
000000014|Orks||true|
000000014|Speed Freeks||false|
000000014|Mounted||false|
000000014|Painboy on Warbike||false|
000000014|Character||false|
000000015|Orks||true|
000000015|Mad Dok Grotsnik||false|
000000015|Painboy||false|
000000015|Epic Hero||false|
000000015|Character||false|
000000015|Infantry||false|
000000016|Orks||true|
000000016|Infantry||false|
000000016|Battleline||false|
000000016|Mob||false|
000000016|Grenades||false|
000000016|Boyz||false|
000000017|Orks||true|
000000017|Gretchin||false|
000000017|Infantry||false|
000000017|Grots||false|
000000019|Orks||true|
000000019|Infantry||false|
000000019|Burna Boyz||false|
000000020|Orks||true|
000000020|Infantry||false|
000000020|Grenades||false|
000000020|Tankbustas||false|
000000021|Orks||true|
000000021|Nobz||false|
000000021|Grenades||false|
000000021|Infantry||false|
000000022|Orks||true|
000000022|Infantry||false|
000000022|Nob with Waaagh! Banner||false|
000000022|Character||false|
000000023|Orks||true|
000000023|Speed Freeks||false|
000000023|Mounted||false|
000000023|Grenades||false|
000000023|Nobz on Warbikes||false|
000000024|Orks||true|
000000024|Infantry||false|
000000024|Grenades||false|
000000024|Mega Armour||false|
000000024|Meganobz||false|
000000025|Orks||true|
000000025|Infantry||false|
000000025|Grenades||false|
000000025|Smoke||false|
000000025|Kommandos||false|
000000026|Orks||true|
000000026|Trukk||false|
000000026|Dedicated Transport||false|
000000026|Vehicle||false|
000000026|Transport||false|
000000027|Orks||true|
000000027|Infantry||false|
000000027|Jump Pack||false|
000000027|Fly||false|
000000027|Grenades||false|
000000027|Stormboyz||false|
000000028|Orks||true|
000000028|Grenades||false|
000000028|Speed Freeks||false|
000000028|Deffkoptas||false|
000000028|Fly||false|
000000028|Vehicle||false|
000000029|Orks||true|
000000029|Dakkajet||false|
000000029|Vehicle||false|
000000029|Fly||false|
000000029|Aircraft||false|
000000029|Speed Freeks||false|
000000030|Orks||true|
000000030|Speed Freeks||false|
000000030|Vehicle||false|
000000030|Burna-bommer||false|
000000030|Fly||false|
000000030|Aircraft||false|
000000031|Orks||true|
000000031|Speed Freeks||false|
000000031|Fly||false|
000000031|Aircraft||false|
000000031|Vehicle||false|
000000031|Blitza-bommer||false|
000000032|Orks||true|
000000032|Speed Freeks||false|
000000032|Wazbom Blastajet||false|
000000032|Fly||false|
000000032|Vehicle||false|
