datasheet_id|detachment_ability_id|
000000001|000009622|
000000001|000009614|
000000001|000008365|
000000001|000008884|
000000002|000008365|
000000002|000009614|
000000002|000009622|
000000002|000008884|
000000003|000008365|
000000003|000008871|
000000003|000008884|
000000004|000009614|
000000004|000008365|
000000006|000009622|
000000006|000009614|
000000006|000008365|
000000006|000008875|
000000007|000009614|
000000007|000008365|
000000007|000008871|
000000008|000009614|
000000008|000008365|
000000008|000008884|
000000008|000009622|
000000009|000008365|
000000010|000008365|
000000011|000008365|
000000011|000009614|
000000012|000009614|
000000012|000008875|
000000012|000008365|
000000013|000008365|
000000013|000009614|
000000014|000008365|
000000014|000008871|
000000015|000008365|
000000015|000009614|
000000016|000008365|
000000016|000008880|
000000016|000009614|
000000017|000008365|
000000019|000009614|
000000019|000008365|
000000020|000008365|
000000021|000009622|
000000021|000008365|
000000021|000008884|
000000021|000009614|
000000022|000008365|
000000023|000008365|
000000023|000008871|
000000024|000008884|
000000024|000009622|
000000024|000008365|
000000025|000008365|
000000025|000009614|
000000026|000008365|
000000027|000008365|
000000027|000009614|
000000028|000008365|
000000028|000008871|
000000029|000008365|
000000029|000008871|
000000030|000008365|
000000030|000008871|
000000031|000008871|
000000031|000008365|
000000032|000008365|
000000032|000008871|
000000033|000008871|
000000033|000008365|
000000034|000008871|
000000034|000008365|
000000035|000008365|
000000035|000008871|
000000036|000008871|
000000036|000008365|
000000037|000008875|
000000037|000008365|
000000038|000008875|
000000038|000008365|
000000039|000008365|
000000040|000008365|
000000040|000008875|
000000041|000008365|
000000041|000008875|
000000042|000008875|
000000042|000008365|
000000043|000008365|
000000043|000008875|
000000044|000008365|
000000045|000008365|
000000045|000009614|
000000046|000008875|
000000046|000008365|
000000049|000008875|
000000049|000008365|
000000050|000008875|
000000050|000008365|
000000051|000008365|
000000052|000008875|
000000052|000008365|
000000053|000008365|
000000054|000008365|
000000055|000008365|
000000056|000008365|
000000057|000008871|
000000057|000008365|
000000059|000008365|
000000060|000008473|
000000060|000008477|
000000060|000009242|
000000060|000008530|
000000060|000008481|
000000060|000008355|
000000060|000008770|
000000060|000008489|
000000060|000008526|
000000060|000008777|
000000060|000008374|
000000060|000008493|
000000060|000008485|
000000061|000008477|
000000061|000008481|
000000061|000008473|
000000061|000008374|
000000061|000008485|
000000061|000008770|
000000061|000008530|
000000061|000008355|
000000061|000008777|
000000061|000008493|
000000061|000008489|
000000061|000008526|
000000063|000008485|
000000063|000008355|
000000063|000008777|
000000063|000008493|
000000063|000008489|
000000063|000008374|
000000063|000008481|
000000063|000008526|
000000063|000008530|
000000063|000008477|
000000063|000008473|
000000063|000008770|
000000063|000009242|
000000064|000008485|
000000064|000008473|
000000064|000008477|
000000064|000008530|
000000064|000008777|
000000064|000008481|
000000064|000008355|
000000064|000008526|
000000064|000008770|
000000064|000008493|
000000064|000008489|
000000064|000009189|
000000064|000008374|
000000065|000008770|
000000065|000008493|
000000065|000008374|
000000065|000008530|
000000065|000008489|
000000065|000008526|
000000065|000008473|
000000065|000008355|
000000065|000008485|
000000065|000008777|
000000065|000008477|
000000065|000008481|
000000066|000008493|
000000066|000008526|
000000066|000008473|
000000066|000008489|
000000066|000008355|
000000066|000008530|
000000066|000008374|
000000066|000008770|
000000066|000008477|
000000066|000008777|
000000066|000008485|
000000066|000008481|
000000067|000008485|
000000067|000008473|
000000067|000008477|
000000067|000008355|
000000067|000008489|
000000067|000008493|
000000067|000008526|
000000067|000008770|
000000067|000008777|
000000067|000008481|
000000067|000008530|
000000067|000008374|
000000068|000008374|
000000068|000008489|
000000068|000008355|
000000068|000008777|
